Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId
"19520544","14107418","0","Interesting, although created_at does show ms resolution, when I have a datetime field in my model, save it, and reload it, it looses ms resolution.","2013-01-01 02:48:24","","785494"
"19520579","14107418","0","That is: The problem isn't in created_at, but is in other fields.","2013-01-01 02:54:56","","785494"
"19520628","14107418","0","I only used `created_at` as that's what I had handy. Where are you losing precision? Before it goes into the database? In the database? After you pull it out?","2013-01-01 03:07:18","","479863"
"19520632","14107418","0","And what happens if you convert the string to a `DateTime` or `ActiveSupport::TimeWithZone` or whatever yourself rather than letting AR do it?","2013-01-01 03:08:29","","479863"
"19521068","14107804","2","Why? Why would `10.0.0.0` be a natural choice?","2013-01-01 04:26:54","","927034"
"19521080","14107804","1","FYI: that [tag:history] tag says: _""DO NOT USE - Removed as part of ""The great Stack Overflow tag/question cleanup of 2012"" - See link in Tag Wiki for more information.""_","2013-01-01 04:28:26","","1212960"
"19521103","14107826","4","When you lift entire posts, especially ones that say things like 'I know that ...', it is your duty to make it clear that you are in fact quoting somebody else.","2013-01-01 04:32:41","","207421"
"19521170","14107826","1","Sorry EJP i have edited it and given the courtesy.
However i have given the link to the post.","2013-01-01 04:47:17","","1882084"
"19521216","14107804","1","K-ballo: Thought 10 was a low number that was maybe more likely to be chosen (plus the fact that we use decimal numbers in everyday life). But I guess the real reason is what Sahu provided below.","2013-01-01 04:54:37","","1939277"
"19521252","14107928","2","More at http://dev.mysql.com/doc/mysql/en/mysqldump.html","2013-01-01 05:01:14","","348312"
"19521416","14107928","0","I am getting syntax error,my username is root and password is nothing this is my command, mysqldump -u root -p -d xyz_db  | mysql -u root -p -Dnew_db. something wrong with my command?","2013-01-01 05:27:03","","1705804"
"19521851","14107979","0","What do you mean by ""rectangular or circular""? Do you want a specific area blurred in the shape of a circle?","2013-01-01 06:25:02","","1085937"
"19522005","14107979","0","yup... i want to blur specific area rect/cir","2013-01-01 06:37:35","","1917782"
"19522023","14107979","0","will the area and appearance of the shape be fixed or dynamic throughout the lifetime of the application?","2013-01-01 06:38:50","","1085937"
"19522181","14107979","1","try this http://stackoverflow.com/a/13316837/1099453","2013-01-01 06:52:17","","1099453"
"19522384","14107979","2","I was looking for the same question 2 weeks ago, but could not found the suitable solution for this, I worked alot on it and got it by myself.","2013-01-01 07:12:40","","1343688"
"19522407","14107979","0","@Jeeter - area and appearance of the shape is dynamic","2013-01-01 07:14:07","","1917782"
"19522450","14107979","0","@iPatel i have a code which blurs the portion on touching that portion","2013-01-01 07:17:59","","1099453"
"19522505","14107979","0","@Dhara- please put your code in answer :)","2013-01-01 07:23:45","","1917782"
"19523121","14107979","0","@iPatel i have posted my code.Let me know if you have any problems","2013-01-01 08:36:31","","1099453"
"19523400","14109187","0","you should post a comment on that article or ping him to answer here.","2013-01-01 09:09:22","","379693"
"19523679","14109166","0","Do I have to expect any problems from this solution?

What about the software which expects 866 console? Could you give examples of such software?","2013-01-01 09:40:55","","1251169"
"19523802","14109099","1","Also, review eclipse.ini. You can add the -vm parameter just in case","2013-01-01 09:52:48","","39261"
"19524082","14109137","0","yes I checked in this way, I see same error","2013-01-01 10:20:07","","1070732"
"19524088","14109099","0","@aldrinleal  How to add -vm parameter, please guide me.","2013-01-01 10:20:52","","1070732"
"19524103","14109099","1","Sure:

http://wiki.eclipse.org/Eclipse.ini","2013-01-01 10:22:04","","39261"
"19524246","14109099","0","@aldrinleal Yes!!! it worked for me, thanks!","2013-01-01 10:38:18","","1070732"
"19524311","14109724","0","Indentation is not optional in Makefiles. Is what you have exactly as you posted it or did whitespace get munged?","2013-01-01 10:44:41","","635608"
"19524377","14109724","0","I got it as I wrote.","2013-01-01 10:49:31","","1827257"
"19524798","14109166","1","I would guess, if there is any software which expects specific 866 symbols, they would be passed incorrectly, because UTF-8 and 866 share only ascii symbols. If there is such risk - why not to use chcp 65001?","2013-01-01 11:26:28","","1868397"
"19524872","14109796","0","Thank you, now it works :)","2013-01-01 11:32:12","","1827257"
"19525139","14110096","0","Thanks asgoth! Is this the right way for having a post request with CSRF-Token being set? Or should I create a hidden form and submit the form with studentIds on ng-click() ? But in that case, how can i get the response data? Thanks again!","2013-01-01 11:56:39","","1300302"
"19525178","14109166","0","Because sometimes i need to use another (cross-platform) software which expects unicode like in *nix.","2013-01-01 11:59:57","","1251169"
"19525228","14110096","0","I've added a quote from angular itself.","2013-01-01 12:05:00","","1916258"
"19525467","14110148","0","no i have few data elements see my question","2013-01-01 12:22:59","","63898"
"19525582","14108694","0","thanks for help me .... but i got error....i cant get imageWithGaussianBlur9 method","2013-01-01 12:32:10","","1917782"
"19525665","14108694","0","okay...problem is clear ...heartly thanks for hel me ...but if i want to show rectangular part that selected by user for blur this area ?? how it is possible ? nd thanks again","2013-01-01 12:38:00","","1917782"
"19525672","14108694","0","thats a UIImage catagory class method. I that in mentioned in discription","2013-01-01 12:38:26","","1343688"
"19525706","14108694","0","circleSizeH, circleSizeW are controlling the size of cropped image. you can change 30x30 to 50x30 or anything else you want","2013-01-01 12:41:11","","1343688"
"19525728","14108694","0","change to radius value 4 to 0 for Rectangle","2013-01-01 12:42:47","","1343688"
"19525956","14110148","2","in this case, you may use the `--jsonArray` option. try `mongoimport --db DATABASE_NAME --collection COLLECTION_NAME --file YOUR_JSON_FILE --jsonArray`.","2013-01-01 13:01:45","","693110"
"19526029","14109036","0","thanks for help me ....but in your code which framwork i need to add ??? #import <QuartzCore/QuartzCore.h> ??? or other ??","2013-01-01 13:07:35","","1917782"
"19526066","14110096","0","Thanks asgoth! Will try that!","2013-01-01 13:10:35","","1300302"
"19526805","14110148","0","hi i got somethihg but still error:
mongoimport  --collection ping_collaction --file  group_result31.12.2012.json --jsonArray
Tue Jan 01 16:04:53 exception:JSONArray file too large
Tue Jan 01 16:04:53 warning: log line attempted (16384k) over max size(10k), printing beginning and end ...
... some json ...
Tue Jan 01 16:04:53 imported 0 objects
Tue Jan 01 16:04:53 ERROR: encountered 1 error","2013-01-01 14:06:10","","63898"
"19526893","14109024","1","866 is a code page for Cyrillic script.  Changing it is quite liable to break any old console mode program that expect that page to be the default.  It is not like you won't notice, you can't read the program's output anymore.","2013-01-01 14:11:45","","17034"
"19527053","14110148","0","the warning is no problem, just telling your it shortened the line to keep log file smaller. To the first error, as @WPCoder suggests in another answer, is there any record that are larger than 16MB?","2013-01-01 14:21:42","","693110"
"19527232","14109166","0","Create batches with chcp for programs which require other encoding.","2013-01-01 14:33:44","","1868397"
"19527264","14110148","0","ok sorry for the begginer questions , but what does mongoDB see as record? the total file is 80 mega","2013-01-01 14:35:39","","63898"
"19527358","14110148","0","yes its bigger then 16 , is there something to do ?
mybe other tool ? or other DB that support json","2013-01-01 14:43:14","","63898"
"19527563","14110096","0","Glad it helped you! Don't forget to upvote/accept :)","2013-01-01 15:02:35","","1916258"
"19527622","14109796","1","An upvote (click the up arrow) would be appreciated :-)","2013-01-01 15:07:43","","648658"
"19527853","14108694","0","// croppedImg = [croppedImg imageWithContrast:50];
please give info, about this method","2013-01-01 15:23:12","","1917782"
"19527950","14111651","0","what if i want them to reflect each other, if a bar gets added that should modify db as well ?","2013-01-01 15:30:34","","106261"
"19527969","14111686","0","+1 The objects which are retained are those accessible from thread roots so they cannot be GCed by definition.","2013-01-01 15:31:53","","57695"
"19528106","14111651","0","@NimChimpsky: In a bidirectional relationship, when you change Foo.bars, then you should be changing Bar.foos correspondingly, so you shouldn't care about what gets saved in the DB when you modify what. The ""ownership"" concept is only about database organization, and your code should be completely ignorant of it.","2013-01-01 15:40:06","","839646"
"19528115","14111651","0","You have a bidirectional association: when you add a bar to a foo, also add the foo to the bar.","2013-01-01 15:40:37","","571407"
"19528120","14111686","1","Hm, I suspected something like this, but the problem I have is that there is no explicit reference (i.e. a variable) pointing to the created object at any point. Does that mean that, as far as the GC is concerned, as long as the object is used in a statement (such as calling a method on the object with the `.` operator), that counts as implicitly holding a reference to the object?","2013-01-01 15:40:59","","595306"
"19528129","14111670","0","-1: mappedBy doesn't indicate which table has a foreign key, and it has nothing to do with cascades.","2013-01-01 15:41:44","","571407"
"19528158","14111677","0","Are you using the Exchange service?  What's your question?","2013-01-01 15:43:17","","789657"
"19528376","14111831","0","Depending on what you need, maybe you can grab an existing library to do the work for you?","2013-01-01 16:01:45","","14637"
"19528398","14111831","0","@Thomas you know a C/C++ lib that is tiny and compact ? there are many horrible libraries ...","2013-01-01 16:03:21","","1824407"
"19528423","14111831","0","No first-hand experience, sorry. But I reckon it'll take you at least a few months of fulltime work to do better.","2013-01-01 16:04:45","","14637"
"19528514","14111686","3","You still have the this reference. That counts as a normal reference.","2013-01-01 16:12:33","","1029890"
"19528585","14111831","0","What platform are you developing for?  If MacOSX or iOS this is trivial,  otherwise - as already suggested  - this a a lot of work.","2013-01-01 16:16:22","","450758"
"19528627","14108694","0","https://github.com/coryleach/UIImageAdjust check this link","2013-01-01 16:19:48","","1343688"
"19528700","14111831","0","@Marko my point is not to target a platform but to target the pdf itself, i was planning to code this with standard and portable C++ or C ANSI","2013-01-01 16:24:45","","1824407"
"19528773","14112064","0","for what i know the PDF file format can contain a lot of other things that are not really that PS alike such as bitmap images and videos. PS is a language for printers basically that was redictered to monitors, but i think that PDF is more like a container.","2013-01-01 16:28:53","","1824407"
"19528792","14112064","0","also that gnupdf is GPLv3 so it's useless.","2013-01-01 16:29:57","","1824407"
"19528860","14112064","0","If you don't want an open source library, then perhaps this would work: http://www.adobe.com/devnet/pdf/library.html
I've just updated the answer itself with information regarding ""it is not postscript"". If you think that's wrong, then please point me to a more accurate provider of information.","2013-01-01 16:35:15","","1919155"
"19528912","14112064","1","the problem it's not that is opensource ( actually it's a +1 ) the problem is the GPL and its viral license.","2013-01-01 16:38:53","","1824407"
"19529092","14112064","0","Ok, there are others around... http://pdf-house.blogspot.co.uk/ seems to have a decent list.","2013-01-01 16:50:28","","1919155"
"19529556","14111021","0","So the extension methods, how extensive are they? Lets say I need to get the state of another entity in my extension? That is my biggest concern right now. You mind showing some examples of extension methods?","2013-01-01 17:20:51","","148601"
"19529628","14112515","0","Looks like a no-op i.e if a is the same as b then do nothing; you could possibly add a javadoc there but I can't think of any other use","2013-01-01 17:25:40","","788109"
"19529629","14112515","8","no, there is no situation for this to be useful. why? if I got a dime for every thing I don't understand in Java :)","2013-01-01 17:25:43","","1180720"
"19529652","14112515","4","The general rule is semicolon(;) completes the statement. So nothing happens after that `if`","2013-01-01 17:27:19","","1389394"
"19529662","14112534","0","possible, but bad style","2013-01-01 17:27:44","","1180720"
"19529680","14112534","4","@gefei - it's *horrible* style as far as I'm concerned.","2013-01-01 17:28:52","","453277"
"19529705","14112534","12","You could do the same with just `a() && b();`.","2013-01-01 17:30:31","","53114"
"19529734","14112534","0","@Gumbo - I suppose the `if` might indicate intent at little more.","2013-01-01 17:31:50","","453277"
"19529768","14112534","2","No, it just makes a future reader confused as to whether this is a typo. Why not just be super clear and only a tiny bit more verbose? `if(!a()) b();`","2013-01-01 17:34:10","","1076640"
"19529780","14112534","0","@yshavit - see my earlier comment, i.e. ""this is horrible style"". I wouldn't use this construct in any form.","2013-01-01 17:35:10","","453277"
"19529792","14112534","1","Ah yeah, sorry, missed that that was you :)","2013-01-01 17:35:41","","1076640"
"19529889","14112545","5","`println(""a now equals b"");`","2013-01-01 17:41:17","","486504"
"19530046","14111021","0","http://ayende.com/blog/153473/taking-a-look-at-s-arp-lite-part-iindash-the-domain  and http://ayende.com/blog/153569/taking-a-look-at-s-arp-litendash-final-thoughts.  (These are reviews of a architecture(Framework?) called s#arp lite.  Mostly good but he disagrees with the repositories and CUD abstractions).","2013-01-01 17:51:09","","1579698"
"19530093","14112532","4","Even the simplest solution, using a code formatter, would deal with this problem. The statement that was intended to be inside the if would have appeared at the same indentation as the if.","2013-01-01 17:54:47","","1798593"
"19530161","14112532","0","Sure, but I recommend to use both formatter and static code analysis.","2013-01-01 17:59:50","","1911306"
"19530302","14112752","0","That was quick. As I thought, it would not be possible. Currently I come up with a solution by having just that BasicViewController class and have additional property to indicate which ""class""/""mode"" it will be acting as. Thanks anyway.","2013-01-01 18:11:23","","737888"
