Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"14107531","1","14110132","","2013-01-01 02:52:02","18","14316","<p>Sample app: <a href=""http://angular.github.com/angular-phonecat/step-11/app/#/phones"">http://angular.github.com/angular-phonecat/step-11/app/#/phones</a></p>

<p>If you choose the last phone ""Motorola charm"" it will show you the details of the phone. 
When you navigate back with on your browser it reloads the data and scrolling is at the top. </p>

<p>What is the best way to automatically scroll to where is was left when navigatin back?
And also, why does angular reloads the data? </p>

<p>I have the same ""angular-phonecat"" sample on my computer and I have added an infinite scroll which loads more data as you scroll. So I really dont want the user to reload 50+ items again or scrolling down for 30 seconds.</p>
","","user1012032","825568","","2013-01-01 03:38:24","2014-10-13 14:51:57","Retain scroll position on route change in AngularJS?","<javascript><angularjs>","8","3","13","",""
"14107354","1","14109674","","2013-01-01 01:53:10","12","6815","<p>I have a string like <code>2012-01-01T01:02:03.456</code> that I am storing in a Postgres database TIMESTAMP using ActiveRecord.</p>

<p>Unfortunately, Ruby seems to chop off the milliseconds:</p>

<pre><code>ruby-1.9.3-rc1 :078 &gt; '2012-12-31T01:01:01.232323+3'.to_datetime
 =&gt; Mon, 31 Dec 2012 01:01:01 +0300 
</code></pre>

<p>Postgrs supports microsecond resolution.  How can I get my timestamp to be saved accordingly? I need at least millisecond resolution.</p>

<p>(PS Yes I could hack in a milliseconds integer column in postgres; that kind of defeats the whole purpose of ActiveRecord.)</p>

<p><strong>UPDATE:</strong><br>
The very helpful responses showed that Ruby's <code>DateTime</code> is <em>not</em> chopping off milliseconds; using <code>#to_f</code> shows it.  But, doing:</p>

<pre><code>m.happened_at = '2012-01-01T00:00:00.32323'.to_datetime
m.save!
m.reload
m.happened_at.to_f
</code></pre>

<p>Does drop the milliseconds.</p>

<p>Now, the interesting thing is that <code>created_at</code> does show milliseconds, both in Rails and Postgres.  But other timestamps fields (like <code>happened_at</code> above) don't.  (Perhaps Rails uses a <code>NOW()</code> function for <code>created_at</code> as opposed to passing in a DateTime).</p>

<p>Which leads to my ultimate question:<br>
<strong>How can I get ActiveRecord to preserve millisecond resolution on timestamp fields?</strong></p>
","785494","","785494","","2013-01-01 10:32:39","2013-11-15 14:39:26","Millisecond resolution of DateTime in Ruby","<ruby><postgresql><datetime><activerecord><rails-postgresql>","4","0","2","",""
"14107208","1","14108774","","2013-01-01 01:13:40","67","40467","<p>Is there any way to <code>find and replace text string automatically in all folder's files</code>?</p>
","895174","","895174","","2013-12-19 08:25:50","2014-12-17 17:25:55","Sublime text 2 - find and replace globally ( all files and in all directories )","<replace><ide><find><sublimetext2><global>","2","0","21","",""
"14107804","1","14107826","","2013-01-01 04:22:58","12","4957","<p>It is a known fact that there are three blocks of IPv4 Addresses that were chosen to be reserved for private networks:</p>

<pre><code> 10.0.0.0        -   10.255.255.255  (10/8 prefix)
 172.16.0.0      -   172.31.255.255  (172.16/12 prefix)
 192.168.0.0     -   192.168.255.255 (192.168/16 prefix)
</code></pre>

<p>(as specified by <a href=""http://tools.ietf.org/html/rfc1918"">RFC 1918</a>). However, although I can sort of see why 10.0.0.0 would be a natural choice, I can think of no particular reason why 172.16.0.0 and 192.168.0.0 were chosen among all the possibilities. I tried to google about this but got nothing, and the RFC document did not provide any explanation either. Was it really just a random decision?</p>
","1939277","","62576","","2013-01-01 04:37:26","2013-01-01 22:05:55","Reasons behind the choice of 172.16/192.168?","<networking><protocols>","1","3","4","2013-01-01 04:33:52",""
"14108430","1","14259396","","2013-01-01 06:35:56","12","2790","<p>I have a basic class that makes GET and POST requests using <code>HttpWebRequest</code>/<code>HttpWebResponse</code>.</p>

<p>I use my class to login to an API and then request data. In a Windows 8 ""Metro"" application, it works exactly as expected. On a Windows Phone 8 application, the login appears to succeed, but in the subsequent request for data, no cookies are sent and the server responds as if the client is not logged in.</p>

<p>Here is the class, this exact same code is used in the Windows 8 app and the Windows Phone app:</p>

<pre><code>class Class1
    {
        CookieContainer cookieJar = new CookieContainer();
        CookieCollection responseCookies = new CookieCollection();

        public async Task&lt;string&gt; httpRequest(HttpWebRequest request)
        {
            string received;

            using (var response = (HttpWebResponse)(await Task&lt;WebResponse&gt;.Factory.FromAsync(request.BeginGetResponse, request.EndGetResponse, null)))
            {
                using (var responseStream = response.GetResponseStream())
                {
                    using (var sr = new StreamReader(responseStream))
                    {
                        cookieJar = request.CookieContainer;
                        responseCookies = response.Cookies;
                        received = await sr.ReadToEndAsync();
                    }
                }
            }

            return received;
        }

        public async Task&lt;string&gt; get(string path)
        {
            var request = WebRequest.Create(new Uri(path)) as HttpWebRequest;
            request.CookieContainer = cookieJar;

            return await httpRequest(request);
        }

        public async Task&lt;string&gt; post(string path, string postdata)
        {
            var request = WebRequest.Create(new Uri(path)) as HttpWebRequest;
            request.Method = ""POST"";
            request.CookieContainer = cookieJar;

            byte[] data = Encoding.UTF8.GetBytes(postdata);
            using (var requestStream = await Task&lt;Stream&gt;.Factory.FromAsync(request.BeginGetRequestStream, request.EndGetRequestStream, null))
            {
                await requestStream.WriteAsync(data, 0, data.Length);
            }

            return await httpRequest(request);
        }
    }
</code></pre>

<p>And the code to initiate the requests:</p>

<pre><code>    var n = new Class1();
    await n.post(""https://mydomain.com/api/login/"", ""username=myusername&amp;password=mypassword"");
    await n.get(""https://mydomain.com/reader/feeds/"");
</code></pre>

<p>The curious thing is that if I prefix the domain name with ""www."" it works in both the Windows Phone 8 app and the Windows 8 Metro app.</p>

<p>I think it has something to do with how the domain is handled. The cookie's domain is "".mydomain.com"", and without the prefix it must think the cookie's do not belong to that domain. After some searching I found <a href=""http://blog.codeblack.nl/post/HttpWebRequest-HttpWebResponse-and-cookies.aspx"">a report of someone noticing a similar problem</a>.</p>

<p>What I do not understand is why this is treated differently in the Windows 8 app than the Windows Phone app, so that line-for-line identical code works on one platform but fails on another.</p>

<hr>

<p>I have done some more digging into this.</p>

<p>The server code I used for this is in PHP:</p>

<pre><code>&lt;?php

if ($_REQUEST[""what""] == ""set"")
{
    setcookie(""TestCookie"",$_REQUEST[""username""] . "" "" . $_REQUEST[""password""], time()+3600*24, ""/"", ""subd.mydomain.com"");
}

if ($_GET[""what""] == ""get"")
{
    var_dump($_COOKIE);
</code></pre>

<p>Client code in C#:</p>

<pre><code>    var n = new ClassLibrary1.Class1();
            await n.get(""http://subd.mydomain.com/?what=set&amp;username=foo&amp;password=bar"");
            await n.get(""http://subd.mydomain.com/?what=get"");
</code></pre>

<p>Here is an example of a cookie response from the server</p>

<pre><code>Set-Cookie: ARRAffinity=295612ca; Path=/;Domain=subd.mydomain.com
Set-Cookie: TestCookie=foo+bar; expires=Fri, 04-Jan-2013 17:19:25 GMT; path=/; domain=subd.mydomain.com
</code></pre>

<p>In the Windows 8 Store/Metro app, this is the result:</p>

<pre><code>array(2) {
  [""ARRAffinity""]=&gt;
  string(8) ""295612ca""
  [""TestCookie""]=&gt;
  string(7) ""foo bar""
}
</code></pre>

<p>In the Windows Phone app, this is the result:</p>

<pre><code>array(0){
}
</code></pre>

<p>The Windows Phone does not see any cookies when they are set this way.</p>

<p>I change how <code>TestCookie</code> is set, the result from the server now looks like this:</p>

<pre><code>Set-Cookie: ARRAffinity=295612ca;Path=/;Domain=subd.mydomain.com
Set-Cookie: TestCookie=foo+bar; expires=Fri, 04-Jan-2013 17:29:59 GMT; path=/
</code></pre>

<p><code>TestCookie</code> now does not explicitly set a domain, ARRAffinity is unchanged.</p>

<p>The Windows 8 Store/Metro app now returns this:</p>

<pre><code>array(2) {
  [""TestCookie""]=&gt;
  string(7) ""foo bar""
  [""ARRAffinity""]=&gt;
  string(8) ""295612ca""
}
</code></pre>

<p>The Windows Phone 8 app, returns this:</p>

<pre><code>array(1) {
  [""TestCookie""]=&gt;
  string(7) ""foo bar""
}
</code></pre>

<p>The <code>ARRAffinity</code> cookie is not sent because it explicitly declares a domain.</p>

<p>If I assign some breakpoints and check the <code>CookieContainer</code> of the request, I have two entries in the <code>m_domainTable</code></p>

<pre><code>+       [0] {[.subd.mydomain.com, System.Net.PathList]} System.Collections.Generic.KeyValuePair&lt;string,System.Net.PathList&gt;
+       [1] {[subd.mydomain.com, System.Net.PathList]}  System.Collections.Generic.KeyValuePair&lt;string,System.Net.PathList&gt;
</code></pre>

<p>The cookie that isn't sent, is in the <code>.subd.mydomain.com</code> container. This is the same on both Windows 8 and Windows Phone 8.</p>

<p>However, if the cookie declares itself like this:</p>

<pre><code>Set-Cookie: TestCookie=foo+bar; expires=Fri, 04-Jan-2013 17:19:25 GMT; path=/; domain=.mydomain.com
</code></pre>

<p>It is correctly sent on Windows Phone 8.</p>

<p>In my original case, the server declares the cookie the same way regardless of if it is accessed via mydomain.com or www.mydomain.com; as "".mydomain.com"", but Windows Phone 8 doesn't seem to think a cookie for "".mydomain.com"" should be sent to ""mydomain.com"". This is problematic, as even if the server puts ""subd.mydomain.com"" as the domain, it is treated as having a preceding dot, and then doesn't work through no fault of its own. It seems it has to not send domain info with the cookie to have it treated correctly.</p>
","66613","","66613","","2013-01-09 14:12:07","2013-01-10 13:47:15","Cookies not sent on Windows Phone app, but cookies are sent with same code in Windows 8 app","<c#><.net><http><windows-8><windows-phone-8>","1","6","1","",""
"14107919","1","14107928","","2013-01-01 04:57:39","13","12641","<p>Is there any way to copy database structure without data in MySQL, so the new database will be the same as it is copied from, but with empty tables.</p>

<p>After getting some suggestions I tried the command, but I am getting syntax error, my <code>username = root</code> and <code>password = nothing</code>. I guess the default one. I am trying following command, </p>

<pre><code>mysqldump -u root -p -d xyz_db | mysql -u root -p -Dnew_db
</code></pre>

<p>what I am missing or misplacing in command?</p>
","1705804","","1705804","","2015-01-05 05:34:39","2015-01-05 05:34:39","copy database structure without data in mysql (with empty tables)","<mysql><copy><database-schema>","4","0","4","",""
"14109024","1","","","2013-01-01 08:33:07","20","20739","<p>866 charset installed by default in Windows' cmd.exe is poor and inconvinient as compared with glorious Unicode.</p>

<p>Can I install Unicode by default or replace cmd.exe to another console and make it default so programms use it instead of cmd.exe?</p>

<p>I understand that <strong>chcp 65001</strong> changes encoding only in the running console. I want to change charset at the system level.</p>
","1251169","","1002260","","2014-10-06 05:01:47","2014-12-23 14:29:43","How to make Unicode charset in cmd.exe by default?","<windows><unicode><character-encoding><cmd><console>","3","1","9","",""
"14107979","1","14108694","","2013-01-01 05:12:16","18","4492","<p>I want to blur image rectangular or circular. After googling, I found that it is easy to blur whole image but it difficult to blur specific part of image (rectangular, circular). so how it is possible ??? </p>

<p>Thanks in advance</p>
","1917782","","1917782","","2013-08-19 15:13:35","2013-11-14 06:26:45","Blur an image of specific part (rectangular, circular)?","<iphone><objective-c><ios>","2","10","24","",""
"14109079","1","17695402","","2013-01-01 08:43:25","16","31520","<p>I am a newbie to Eclipse and Java. I'm trying to install Java to use Eclipse (I followed all instructions to install Java and Eclipse) but my Eclipse is not starting due to some bad configuration I guess. I can't figure out why it's not working for me.</p>

<p><strong>Eclipse Installation:</strong></p>

<ol>
<li>Extracted Eclipse at <code>C:\eclipse</code></li>
<li>Created a shortcut to my desktop having target <code>C:\eclipse\eclipse.exe</code></li>
</ol>

<p>When I try to run Eclipse with this shortcut, I see following Eclipse splash screen for a second and it disappears. Eclipse does not start at all.</p>

<p><img src=""http://i.stack.imgur.com/LlTUj.png"" alt=""Eclipse Splash Screen""></p>

<p><strong>JAVA Installation:</strong></p>

<ol>
<li>Installed JDK at <code>C:\Program Files\Java\jdk1.7.0_10</code></li>
<li>Installed JRE at <code>C:\Program Files\Java\jre7</code></li>
</ol>

<p><strong>Environment Variables Configuration:</strong></p>

<pre><code>JAVA_HOME = C:\Program Files\Java\jdk1.7.0_10
PATH = C:\Program Files\Java\jdk1.7.0_10\bin;
</code></pre>

<p>I tested my Java installation using the console and figured out this issue but I don't know how to fix it, and I guess this is causing Eclipse not to start.</p>

<p><strong>Problem:</strong></p>

<p><img src=""http://i.stack.imgur.com/aXxoU.png"" alt=""enter image description here""></p>

<p>Any help will be highly appreciated!</p>
","1070732","","1871769","","2013-01-01 09:01:11","2013-07-17 08:57:32","Error occured during initialization of VM (java/lang/NoClassDefFoundError: java/lang/Object)","<windows><eclipse><java><java-7>","3","3","5","",""
"14109927","1","14110096","","2013-01-01 11:12:14","15","17611","<p>I am using AngularJS with Rails. I have the following request which updates users in bulk.</p>

<pre><code> $http{
    method: 'POST',
    url: $scope.update_url,
    params: {selected_ids: userIds}
 }
</code></pre>

<p>This cannot be a 'GET' request due to restrictions in the length of the URL (http://support.microsoft.com/kb/208427)</p>

<p>But for 'POST' request, we need to have a CSRF authenticity token in the header.</p>

<p>How can we set the CSRF Token to the post request header?</p>
","1300302","","","","","2013-11-10 13:59:54","Angular JS Verify CSRF Token in POST Request","<angularjs><javascript-framework>","2","0","17","",""
