Id,Reputation,Views,UpVotes,DownVotes
"959460","1156","141","83","1"
"1021725","3230","522","377","46"
"528214","283","33","1053","7"
"128397","23749","2268","11158","174"
"2321939","786","153","224","1"
"1052743","653","94","48","76"
"1726801","2255","62","57","59"
"2321939","786","153","224","1"
"177489","3587","190","133","2"
"959460","1156","141","83","1"
"959460","1156","141","83","1"
"538431","617","102","23","0"
"788109","2456","147","491","31"
"1180720","7564","271","209","17"
"1389394","9017","1920","737","13"
"128397","23749","2268","11158","174"
"128397","23749","2268","11158","174"
"10562","1979","225","48","4"
"1600336","715","74","65","2"
"1600336","715","74","65","2"
"1600336","715","74","65","2"
"877819","4548","1130","438","29"
"177762","1089","101","90","4"
"194609","7540","1028","1271","25"
"790635","1093","54","140","8"
"1713149","1032","188","362","15"
"880326","5374","203","158","9"
"2895909","187","37","39","0"
"2321939","786","153","224","1"
"2321939","786","153","224","1"
"1726801","2255","62","57","59"
"2321939","786","153","224","1"
"1726801","2255","62","57","59"
"2321939","786","153","224","1"
"1726801","2255","62","57","59"
"2321939","786","153","224","1"
"1726801","2255","62","57","59"
"2321939","786","153","224","1"
"1208233","3857","695","1235","1250"
"2321939","786","153","224","1"
"1423083","3919","902","1140","155"
"880326","5374","203","158","9"
"1398581","5167","271","224","34"
"729454","1178","28","55","0"
"785494","658","67","4","1"
"785494","658","67","4","1"
"479863","221885","29342","9070","1239"
"479863","221885","29342","9070","1239"
"870925","1","153","495","23"
"234954","7392","418","280","36"
"979772","415","114","284","2"
"497681","186","75","92","10"
"63898","6887","2347","536","3"
"63898","6887","2347","536","3"
"57695","253334","32656","12416","116"
"595306","338","21","35","1"
"1029890","2171","137","21","1"
"731115","1295","91","241","0"
"777186","29455","3952","2877","337"
"1428679","20934","742","687","70"
"183120","8217","1049","3404","7"
"183120","8217","1049","3404","7"
"1625066","1257","100","77","4"
"2321939","786","153","224","1"
"1468366","23937","1165","1440","210"
"441521","1124","253","160","7"
"680925","43940","4985","6124","682"
"148601","2809","353","166","70"
"1500692","352","79","160","7"
"39261","2323","315","100","16"
"1070732","3873","379","256","17"
"39261","2323","315","100","16"
"1070732","3873","379","256","17"
"811381","1933","100","170","2"
"214010","66367","3881","11295","73"
"777186","29455","3952","2877","337"
"1025702","676","162","741","17"
"2321939","786","153","224","1"
"1428679","20934","742","687","70"
"731115","1295","91","241","0"
"148601","2809","353","166","70"
"1041090","4507","780","355","37"
"777186","29455","3952","2877","337"
"1366368","1722","217","175","18"
"1169172","74","72","13","0"
"1169172","74","72","13","0"
"878126","25193","9767","507","5"
"63898","6887","2347","536","3"
"693110","827","44","165","2"
"63898","6887","2347","536","3"
"693110","827","44","165","2"
"148601","2809","353","166","70"
"731115","1295","91","241","0"
"180513","410","49","18","2"
"492747","933","95","142","7"
"2030468","1373","284","346","8"
"128028","5069","1351","8883","15"
"2376109","385","67","115","3"
"1460422","1720","907","1283","2"
"2823146","1468","116","80","0"
"1475269","80","12","42","0"
"47453","35915","1392","3458","671"
"2874","1273","185","401","7"
"47453","35915","1392","3458","671"
"2874","1273","185","401","7"
"459640","25422","1024","2843","36"
"777186","29455","3952","2877","337"
"459640","25422","1024","2843","36"
"777186","29455","3952","2877","337"
"777186","29455","3952","2877","337"
"777186","29455","3952","2877","337"
"1041090","4507","780","355","37"
"1366368","1722","217","175","18"
"47453","35915","1392","3458","671"
"476716","8083","1079","479","70"
"37213","198332","18974","6438","2331"
"2874","1273","185","401","7"
"588306","16250","4674","3455","195"
"1218067","718","229","335","10"
"153285","75539","5252","2462","555"
"80074","6558","368","752","0"
"1075405","3673","289","752","9"
"1007211","849","46","256","2"
"295797","7586","695","725","50"
"1183150","1345","221","469","3"
"499839","1203","45","238","1"
"486504","4179","638","784","57"
"737888","1002","49","16","0"
"183915","835","109","60","0"
"45767","10805","603","362","7"
"800817","3861","280","108","41"
"310394","857","26","196","13"
"82959","36893","1930","10160","291"
"530967","825","177","278","9"
"183915","835","109","60","0"
"588306","16250","4674","3455","195"
"1168440","2143","62","62","0"
"140719","106830","9797","4922","1401"
"1212341","13700","3343","1236","39"
"1473663","3033","317","272","114"
"538284","2688","401","0","0"
"467588","2652","286","585","8"
"627985","3961","174","40","2"
"761777","9386","714","107","5"
"215945","111789","6676","2231","29"
"45767","10805","603","362","7"
"1939905","372","117","84","1"
"607569","983","204","254","12"
"2112028","1","795","118","166"
"1579262","1134","134","147","6"
"634025","31075","9776","1771","113"
"74975","605","108","52","14"
"74975","605","108","52","14"
"927034","46269","2708","2016","405"
"1212960","6196","573","1243","367"
"1939277","63","4","1","0"
"82959","36893","1930","10160","291"
"133479","839","65","133","1"
"923378","87","18","55","0"
"1218067","718","229","335","10"
"961113","107635","8246","3781","1465"
"1218067","718","229","335","10"
"959460","1156","141","83","1"
"309630","1044","131","9","0"
"750852","11137","1144","274","694"
"959460","1156","141","83","1"
"959460","1156","141","83","1"
"1858241","840","46","23","13"
"541686","78263","8763","3186","354"
"153285","75539","5252","2462","555"
"124416","1569","161","222","4"
"714969","50823","3728","2245","9"
"750852","11137","1144","274","694"
"959460","1156","141","83","1"
"1737568","457","73","117","7"
"452307","120409","10404","1279","259"
"153285","75539","5252","2462","555"
"344945","3630","166","113","4"
"153285","75539","5252","2462","555"
"452307","120409","10404","1279","259"
"251311","114750","11559","6327","4489"
"153285","75539","5252","2462","555"
"452307","120409","10404","1279","259"
"153285","75539","5252","2462","555"
"1389219","1192","120","1106","10"
"959460","1156","141","83","1"
"541686","78263","8763","3186","354"
"3075942","1681","156","284","26"
"3094941","199","3","29","0"
"3094941","199","3","29","0"
"1251169","117","22","9","0"
"1868397","471","39","842","4"
"1251169","117","22","9","0"
"1431814","1","8","0","0"
"959460","1156","141","83","1"
"251311","114750","11559","6327","4489"
"824275","4341","365","124","17"
"124416","1569","161","222","4"
"1251169","117","22","9","0"
"1868397","471","39","842","4"
"153285","75539","5252","2462","555"
"329782","165","2","25","1"
"521257","2537","173","650","81"
"692622","1228","247","240","1"
"633387","674","64","88","7"
"218196","273459","29070","4815","1051"
"1672778","1713","207","86","6"
"251311","114750","11559","6327","4489"
"218196","273459","29070","4815","1051"
"1672778","1713","207","86","6"
"251311","114750","11559","6327","4489"
"1672778","1713","207","86","6"
"234932","2419","258","327","12"
"1672778","1713","207","86","6"
"234932","2419","258","327","12"
"200291","66249","2460","2349","828"
"1672778","1713","207","86","6"
"200291","66249","2460","2349","828"
"936986","10120","615","575","107"
"824275","4341","365","124","17"
"46926","37779","3909","764","77"
"959460","1156","141","83","1"
"1638005","385","29","35","6"
"124416","1569","161","222","4"
"1916258","16687","726","335","49"
"648658","21730","2110","2089","58"
"553598","1557","78","754","2"
"309630","1044","131","9","0"
"1672778","1713","207","86","6"
"1531769","773","57","57","0"
"1144090","265","57","178","3"
"663941","3406","210","83","1"
"508681","1642","112","301","0"
"1129408","401","94","57","1"
"1180720","7564","271","209","17"
"453277","33337","3455","8506","2465"
"53114","302150","27151","1454","281"
"453277","33337","3455","8506","2465"
"1076640","16061","1117","2104","257"
"453277","33337","3455","8506","2465"
"1076640","16061","1117","2104","257"
"151019","21876","3686","6029","708"
"571407","281781","28941","3006","2864"
"680925","43940","4985","6124","682"
"227267","33960","3282","948","379"
"571407","281781","28941","3006","2864"
"258289","3471","318","141","15"
"692622","1228","247","240","1"
"466871","334","23","62","1"
"1141160","368","42","111","2"
"2015469","56","1","25","0"
"1827257","178","17","4","0"
"212012","404","46","73","1"
"85785","64595","5473","4556","54"
"154306","14930","2239","1914","94"
"1742814","320","19","30","2"
"1476226","932","35","121","4"
"1476226","932","35","121","4"
"408572","581","19","77","1"
"532495","3869","296","1103","77"
"531232","1077","116","234","12"
"1017868","7423","902","157","215"
"878126","25193","9767","507","5"
"1339631","1801","23","34","2"
"1300302","6851","207","14","0"
"1916258","16687","726","335","49"
"1300302","6851","207","14","0"
"17034","519502","132997","7747","16876"
"553209","23942","1444","16","6"
"1054469","158","18","26","0"
"1707154","150","17","2","0"
"1005844","795","46","332","35"
"1134982","171","41","154","1"
"363867","592","55","58","7"
"453277","33337","3455","8506","2465"
"53114","302150","27151","1454","281"
"878126","25193","9767","507","5"
"257948","2515","308","718","5"
"435743","403","57","246","4"
"435743","403","57","246","4"
"435743","403","57","246","4"
"962089","29555","6675","5185","260"
"395573","3993","687","362","83"
"701092","44984","6604","14336","1072"
"680925","43940","4985","6124","682"
"878126","25193","9767","507","5"
"62544","4536","685","441","28"
"877581","4209","334","425","37"
"106261","21945","2469","3187","506"
"839646","51293","2442","691","57"
"571407","281781","28941","3006","2864"
"1929959","1897","502","71","10"
"1301750","798","313","46","1"
"154306","14930","2239","1914","94"
"1301750","798","313","46","1"
"154306","14930","2239","1914","94"
"1301750","798","313","46","1"
"154306","14930","2239","1914","94"
"1301750","798","313","46","1"
"154306","14930","2239","1914","94"
"1880763","500","63","31","6"
"1057909","10721","455","250","50"
"80074","6558","368","752","0"
"70386","55122","5098","2701","271"
"1144090","265","57","178","3"
"70386","55122","5098","2701","271"
"909361","1283","130","108","6"
"1255508","122","13","13","0"
"518169","2728","233","221","2"
"3315914","2653","396","1286","261"
"1368828","468","74","84","3"
"1838509","62150","3903","3308","580"
"1017868","7423","902","157","215"
"1711598","10637","288","158","14"
"1144090","265","57","178","3"
"148601","2809","353","166","70"
"904887","1597","89","192","6"
"1829943","1177","119","218","8"
"2672018","1089","272","348","6"
"518169","2728","233","221","2"
"464744","120848","14259","2760","706"
"1884546","1280","205","22","0"
"555938","413","37","149","1"
"85597","19022","2030","1096","29"
"70386","55122","5098","2701","271"
"70386","55122","5098","2701","271"
"367273","194219","12221","3645","630"
"16007","28942","3565","2113","342"
"807361","503","62","66","2"
"70386","55122","5098","2701","271"
"70386","55122","5098","2701","271"
"148601","2809","353","166","70"
"1351335","4732","331","334","25"
"66372","27017","1987","1628","279"
"85597","19022","2030","1096","29"
"464744","120848","14259","2760","706"
"904887","1597","89","192","6"
"1917782","17707","3836","1464","43"
"712765","8386","1020","420","176"
"70386","55122","5098","2701","271"
"807361","503","62","66","2"
"807361","503","62","66","2"
"70386","55122","5098","2701","271"
"85597","19022","2030","1096","29"
"70386","55122","5098","2701","271"
"464744","120848","14259","2760","706"
"464744","120848","14259","2760","706"
"962089","29555","6675","5185","260"
"989331","1957","147","74","3"
"927034","46269","2708","2016","405"
"592323","20683","1360","2806","312"
"989331","1957","147","74","3"
"927034","46269","2708","2016","405"
"1351335","4732","331","334","25"
"1099453","2742","1045","909","20"
"1917782","17707","3836","1464","43"
"863701","125","32","14","0"
"70386","55122","5098","2701","271"
"70386","55122","5098","2701","271"
"408643","4753","742","923","9"
"408643","4753","742","923","9"
