Id,Reputation,Views,UpVotes,DownVotes
"2874","1273","185","401","7"
"3461","6535","451","281","21"
"4296","1406","504","189","1"
"4725","88529","15305","3607","2510"
"13302","351241","46885","20312","14701"
"14540","3852","425","507","9"
"17034","519502","132997","7747","16876"
"23643","37037","2424","2849","75"
"31671","204778","21911","17381","1985"
"33518","128128","9276","803","93"
"34537","31146","6003","3161","125"
"37213","198332","18974","6438","2331"
"46926","37779","3909","764","77"
"47453","35915","1392","3458","671"
"49404","1113","125","261","1"
"52570","208","39","26","0"
"57695","253334","32656","12416","116"
"62576","77712","13490","8873","9843"
"63550","7796","35852","3707","18422"
"63898","6887","2347","536","3"
"66613","1506","100","466","29"
"70386","55122","5098","2701","271"
"74074","3006","120","648","19"
"80074","6558","368","752","0"
"82959","36893","1930","10160","291"
"85597","19022","2030","1096","29"
"85785","64595","5473","4556","54"
"106261","21945","2469","3187","506"
"124416","1569","161","222","4"
"136445","14820","2004","786","95"
"140719","106830","9797","4922","1401"
"148601","2809","353","166","70"
"148635","1062","201","198","2"
"153285","75539","5252","2462","555"
"154306","14930","2239","1914","94"
"183915","835","109","60","0"
"197606","15111","1607","2045","23"
"197663","11887","621","1013","25"
"207421","130300","23583","5303","8306"
"212012","404","46","73","1"
"214010","66367","3881","11295","73"
"217324","35401","1956","6365","169"
"258289","3471","318","141","15"
"271475","31231","965","300","71"
"295797","7586","695","725","50"
"301832","62033","8321","4674","67"
"302139","36299","1404","288","28"
"350040","715","37","475","21"
"359307","29981","3258","1683","40"
"362123","34","11","126","0"
"367456","110154","16855","8708","8516"
"386739","838","235","265","20"
"395573","3993","687","362","83"
"411918","9096","1131","3586","1762"
"421195","41692","3044","1786","501"
"421681","129","14","2","0"
"452941","3126","265","1035","32"
"453277","33337","3455","8506","2465"
"461412","361","3","3","0"
"464744","120848","14259","2760","706"
"479863","221885","29342","9070","1239"
"488657","11063","4255","1309","1455"
"491243","137824","21596","2514","1585"
"527702","4596","2179","2694","151"
"549521","542","76","63","4"
"554852","742","31","13","0"
"556613","3416","275","82","8"
"571407","281781","28941","3006","2864"
"580796","1281","155","35","0"
"588306","16250","4674","3455","195"
"595306","338","21","35","1"
"631619","34301","4630","2257","120"
"634025","31075","9776","1771","113"
"637283","1023","160","582","10"
"646198","2692","402","597","1"
"648658","21730","2110","2089","58"
"687817","3053","962","1782","725"
"692622","1228","247","240","1"
"693110","827","44","165","2"
"701092","44984","6604","14336","1072"
"710274","483","30","332","7"
"728804","71","4","11","0"
"731115","1295","91","241","0"
"733034","2799","377","117","4"
"737888","1002","49","16","0"
"761777","9386","714","107","5"
"777186","29455","3952","2877","337"
"785494","658","67","4","1"
"790635","1093","54","140","8"
"823738","5201","394","1155","139"
"825568","76436","3585","1028","366"
"839097","638","31","272","2"
"839952","3731","223","98","0"
"855527","339","45","0","0"
"856468","1035","38","21","2"
"867760","4607","261","80","7"
"877819","4548","1130","438","29"
"878126","25193","9767","507","5"
"880326","5374","203","158","9"
"885556","17334","2104","246","3"
"895174","9575","1959","808","102"
"896588","4211","371","519","153"
"925743","41","4","97","0"
"938024","2565","247","159","88"
"950427","6295","988","2897","0"
"959460","1156","141","83","1"
"961113","107635","8246","3781","1465"
"965666","379","26","214","1"
"973651","8494","285","84","24"
"980430","76","29","49","0"
"989331","1957","147","74","3"
"1002260","1","4039","3937","6769"
"1015177","1009","81","85","8"
"1022209","1313","128","633","0"
"1025702","676","162","741","17"
"1031417","9092","2644","1167","256"
"1034056","156","10","3","0"
"1042555","3892","523","375","79"
"1052743","653","94","48","76"
"1053103","3151","410","752","35"
"1054469","158","18","26","0"
"1057909","10721","455","250","50"
"1063119","137","16","42","1"
"1070354","11259","439","141","10"
"1070732","3873","379","256","17"
"1076640","16061","1117","2104","257"
"1090402","41","17","0","0"
"1099453","2742","1045","909","20"
"1112757","391","18","2","0"
"1143970","260","40","0","0"
"1144090","265","57","178","3"
"1144231","176","13","1","0"
"1168440","2143","62","62","0"
"1173023","883","77","49","7"
"1175083","665","262","33","1"
"1180720","7564","271","209","17"
"1195872","1275","214","686","9"
"1218067","718","229","335","10"
"1230594","1194","262","497","7"
"1244442","3337","473","1463","303"
"1251169","117","22","9","0"
"1300302","6851","207","14","0"
"1301750","798","313","46","1"
"1315397","3464","114","490","49"
"1339631","1801","23","34","2"
"1343688","2019","228","115","69"
"1360253","15924","1654","495","280"
"1374397","546","9","39","0"
"1378918","41","7","3","0"
"1382828","564","54","454","2"
"1385119","4336","392","320","20"
"1388526","438","46","46","0"
"1408866","1310","52","262","4"
"1423083","3919","902","1140","155"
"1428679","20934","742","687","70"
"1431814","1","8","0","0"
"1465919","58","6","11","0"
"1469621","161","3","24","0"
"1476206","490","29","38","3"
"1476226","932","35","121","4"
"1502364","226","65","66","1"
"1515209","6502","378","543","8"
"1520364","19988","1683","639","81"
"1544046","328","12","384","1"
"1575456","608","61","84","8"
"1577560","141","2","2","0"
"1579698","570","42","24","0"
"1600336","715","74","65","2"
"1606888","4960","307","1411","16"
"1608734","86","21","33","0"
"1620673","989","54","38","1"
"1647484","2516","330","78","0"
"1656986","1305","128","94","1"
"1672778","1713","207","86","6"
"1682924","2507","2499","52","92"
"1698695","1296","389","236","2"
"1704917","546","19","6","5"
"1705804","882","111","304","7"
"1726801","2255","62","57","59"
"1737568","457","73","117","7"
"1758051","1827","197","100","11"
"1762224","5001","696","1704","36"
"1780772","461","37","40","1"
"1784834","16682","1414","1392","56"
"1790644","5067","523","1659","458"
"1824407","770","133","41","0"
"1827257","178","17","4","0"
"1837811","137","6","1","0"
"1838509","62150","3903","3308","580"
"1862101","1745","282","214","6"
"1865233","726","349","63","5"
"1868397","471","39","842","4"
"1871769","4372","197","25","12"
"1882084","313","15","11","0"
"1902055","205","26","12","0"
"1911306","2324","222","186","15"
"1916258","16687","726","335","49"
"1917782","17707","3836","1464","43"
"1919155","72393","4447","346","18"
"1934744","1933","196","210","12"
"1939103","2938","174","65","14"
"1939277","63","4","1","0"
"1941681","191","25","77","1"
"2005251","165","46","218","24"
"2025722","189","5","0","0"
"2036372","1716","68","158","18"
"2050819","589","12","2","0"
"2074608","8302","4559","756","8633"
"2078908","1720","93","21","19"
"2090107","26","2","0","0"
"2157640","3092","369","773","172"
"2185417","1","13","0","0"
"2275421","1479","35","27","0"
"2321939","786","153","224","1"
"2415270","31","3","2","0"
"2446529","1","0","0","0"
"2571074","11","2","0","0"
"2590624","56","2","0","0"
"2769615","28","7","2","0"
"3094941","199","3","29","0"
"3100799","6","4","0","0"
"3557336","911","411","865","550"
