Id,Reputation,Views,UpVotes,DownVotes
"545637","3159","335","733","49"
"57954","192","29","95","1"
"1450967","668","35","50","1"
"2260924","100","18","71","0"
"2509723","1","2","0","0"
"1564528","786","297","72","2"
"1773265","494","171","1079","23"
"1243996","4808","372","1443","6"
"772000","4020","279","5026","11"
"776084","11253","773","1950","126"
"1094597","42805","3530","1058","223"
"752976","14910","4365","2058","1307"
"2416228","789","192","217","27"
"930037","1","0","0","0"
"66372","27017","1987","1628","279"
"876814","3769","280","281","10"
"649497","2646","191","444","1"
"1091947","463","54","454","4"
"605129","4168","421","400","28"
"208696","936","155","349","3"
"989962","79","8","10","0"
"477453","2363","132","2260","274"
"243557","2778","1090","1951","505"
"1168661","2325","233","923","15"
"592323","20683","1360","2806","312"
"863564","3221","446","1886","267"
"791478","1","1","0","0"
"818004","324","108","406","1"
"930748","176","21","38","1"
"1208658","72","9","49","0"
"2334624","581","80","116","4"
"386739","838","235","265","20"
"196561","31061","2133","5418","57"
"1144090","265","57","178","3"
"1606952","104","27","106","0"
"859154","38924","7459","3828","75"
"3177763","38","4","19","0"
"71059","35219","2572","14556","554"
"1833612","13127","678","1391","195"
"300685","906","90","717","2"
"1465054","315","27","815","0"
"41403","1517","215","513","30"
"310342","182","18","191","1"
"89161","773","160","176","1"
"1131855","469","110","949","0"
"432259","2270","171","541","7"
"282128","56","5","28","0"
"2607389","462","15","680","0"
"456814","32581","4464","2467","2545"
"1267263","15826","1704","1729","62"
"567864","17800","1310","6312","1089"
"264697","64647","6248","4174","236"
"553773","1146","90","682","3"
"351982","4008","547","3184","2"
"593612","843","123","383","6"
"830554","2414","359","631","3"
"836640","140","25","59","1"
"342978","761","76","149","3"
"1585455","400","77","2240","2"
"262868","735","149","129","2"
"1579719","26","3","56","0"
"345182","46","5","10","0"
"1372543","36","7","10","0"
"1506366","885","53","72","0"
"250453","165","54","192","0"
"1469203","760","100","422","7"
"572180","606","105","363","1"
"1506587","450","144","47","5"
"2672526","1","4","0","0"
"1038250","1","0","0","0"
"564163","377","27","414","4"
"2019689","282","20","51","0"
"1634846","8908","553","256","6"
"2429160","473","141","88","8"
"109942","2429","467","2018","14"
"153285","75539","5252","2462","555"
"880326","5374","203","158","9"
"276648","993","233","947","7"
"2141073","918","36","315","2"
"793961","1116","54","205","1"
"1762224","5001","696","1704","36"
"1847187","57","19","22","0"
"2730725","358","159","38","0"
"1569817","56","17","93","0"
"435460","2889","295","280","4"
"743077","1368","32","12","0"
"525179","2738","334","651","115"
"2077475","1","1","0","0"
"626158","550","7","50","3"
"123594","855","389","253","7"
"973543","117","21","13","0"
"1278811","21","5","13","0"
"684893","479","32","78","2"
"617207","173","52","310","0"
"192217","454","111","102","2"
"1817185","138","33","202","0"
"2845260","1281","118","130","10"
"1259884","1002","255","1920","15"
"1761195","1509","127","129","10"
"3549317","57","5","37","0"
"280109","424","97","362","10"
"814564","1027","84","35","3"
"462707","1364","146","594","9"
"411637","62","74","234","3"
"189410","3154","133","165","4"
"43769","988","70","113","3"
"619869","1","8","0","0"
"399759","1307","83","3208","2"
"671229","48","10","48","0"
"225767","1080","76","1674","11"
"1376135","15","14","4","0"
"628995","4545","137","377","173"
"391826","601","26","158","1"
"120242","1290","193","143","34"
"985949","9930","1089","2188","63"
"818326","640","79","167","6"
"23589","1712","195","239","0"
"1840231","1271","155","1849","16"
"512334","617","31","31","7"
"257550","21525","1935","1379","954"
"530967","825","177","278","9"
"664652","534","25","310","5"
"2302003","25","19","1","0"
"2358833","46","0","17","0"
"45767","10805","603","362","7"
"1497697","1","1","0","0"
"1698851","1","2","0","0"
"271996","595","104","445","3"
"90492","669","118","866","11"
"734493","418","46","299","3"
"671229","48","10","48","0"
"937822","18964","995","1781","31"
"188331","18459","6122","3921","472"
"621210","461","39","73","0"
"1406486","558","73","60","3"
"1165643","406","70","461","1"
"476747","8387","1636","2754","2"
"495800","1205","130","76","4"
"3124904","9","1","0","0"
"2810918","1764","327","1943","22"
"3282633","2337","683","370","153"
"1700479","40","6","6","0"
"1516977","35","15","170","0"
"1717907","46","5","3137","0"
"1502020","150","11","137","1"
"2318880","25","12","28","0"
"3076333","62","9","35","0"
"2832883","3137","134","23","5"
"714969","50823","3728","2245","9"
"1852470","176","10","41","0"
"895174","9575","1959","808","102"
"344774","1622","159","240","11"
"1183150","1345","221","469","3"
"1206087","811","209","183","11"
"1108689","136","32","57","0"
"167194","540","30","318","5"
"606413","1211","107","113","4"
"304209","1591","94","2782","1"
"606355","344","47","3608","0"
"599926","1989","87","59","14"
"559994","68","6","223","0"
"1997092","48","8","99","0"
"2052164","1352","88","5474","12"
"1301750","798","313","46","1"
"2893034","101","6","49","0"
"1237290","455","110","63","4"
"1132615","56","5","6","0"
"1814189","542","46","30","0"
"625407","600","64","80","10"
"86328","1851","116","352","2"
"1429811","1278","177","284","43"
"2582848","1","0","0","0"
"1884546","1280","205","22","0"
"1889210","1","0","0","0"
"1726801","2255","62","57","59"
"1766201","952","75","146","4"
"2876385","54","8","38","0"
"1533054","3717","150","1560","5"
"776084","11253","773","1950","126"
"258289","3471","318","141","15"
"620249","6075","959","407","116"
"1887013","460","89","64","2"
"413910","13604","1113","335","71"
"1554935","7631","524","1269","40"
"1797628","203","31","307","1"
"1403990","511","56","121","13"
"1511504","664","30","789","11"
"4253657","1","0","0","0"
"42595","15059","1251","640","13"
"637283","1023","160","582","10"
"471607","13691","3638","639","90"
"295019","563","78","800","3"
"1978061","66","2","381","0"
"123127","18446","1224","1799","80"
"195751","91","30","1175","0"
"1659790","1417","100","463","5"
"1338339","1429","74","344","0"
"1445313","96","4","65","0"
"3906557","1","0","0","0"
"832546","418","41","190","22"
"742560","1211","332","920","9"
"2029172","1","0","0","0"
"2420871","201","28","188","1"
"7345","15878","1386","2323","293"
"350040","715","37","475","21"
"1169659","27","9","12","0"
"1226389","469","16","181","0"
"1649982","36","8","1","0"
"1056173","190","10","41","1"
"1292203","3682","573","969","74"
"757293","1400","76","91","4"
"1741677","35","6","182","0"
"1291150","5211","704","1223","78"
"66613","1506","100","466","29"
"63094","14253","1342","849","75"
"2282538","1774","165","1330","82"
"1006439","1179","70","923","1"
"2127383","994","241","1221","5"
"2725661","23","1","102","0"
"1560689","1","1","0","0"
"631351","1","6","0","0"
"1183098","601","62","104","0"
"2804216","101","4","11","0"
"656366","2334","206","2409","2"
"427499","2200","216","158","3"
"684617","99","18","162","0"
"1097104","1232","176","706","2"
"1573014","1","0","0","0"
"1917782","17707","3836","1464","43"
"2194152","153","31","49","0"
"900024","739","70","106","3"
"1170461","440","59","111","4"
"3138286","72","5","11","0"
"893595","79","45","6","0"
"1280373","23386","3888","630","278"
"2416228","789","192","217","27"
"3289770","1","2","0","0"
"381150","503","93","1098","7"
"28381","2669","323","145","6"
"2226082","50","11","7","0"
"1560689","1","1","0","0"
"1984253","1062","75","28","1"
"2269481","744","53","823","10"
"2279691","1","1","0","0"
"858405","1","1","0","0"
"286629","999","242","726","4"
"765960","457","34","41","3"
"596407","121","1","84","0"
"50069","647","111","409","0"
"938548","1120","112","148","2"
"115182","3860","448","48","7"
"789016","1","3","0","0"
"1656733","357","47","198","23"
"2183102","1980","199","582","26"
"2180879","149","25","1111","1"
"91945","141","246","13","0"
"1342734","1735","178","469","19"
"2524631","33","17","384","0"
"275133","1396","116","362","1"
"1173620","181","27","75","1"
"1768690","2971","104","622","37"
"1434408","241","3","20","1"
"588306","16250","4674","3455","195"
"1654265","19931","2872","3346","86"
"1365289","1552","339","376","11"
"1537828","1","0","0","0"
"950427","6295","988","2897","0"
"1030951","1451","487","893","48"
"321896","300","16","82","0"
"2265763","245","73","244","5"
"625914","10247","504","939","142"
"275069","563","48","133","12"
"855680","2686","384","1019","2"
"742815","937","356","139","27"
"1745610","41","1","129","0"
"563321","69","23","767","0"
"655857","603","241","417","9"
"443722","2959","349","205","8"
"924812","1165","96","4","2"
"1603072","15019","994","522","903"
"464313","454","46","1221","0"
"845613","1","0","0","0"
"829970","3698","467","3045","148"
"805057","131","11","211","0"
"1907273","329","68","90","0"
"689077","2839","438","1677","0"
"535024","197","16","77","0"
"3571445","1","0","0","0"
"1888292","3518","112","149","6"
"47438","3232","177","249","0"
"247800","1","0","0","0"
"610641","1174","154","256","7"
"128028","5069","1351","8883","15"
"2296043","51","7","9","0"
"456584","10752","573","3860","15"
"2523764","570","358","174","11"
"1042483","1360","164","490","0"
"2960335","45","24","85","0"
"1317035","1382","95","57","0"
"965666","379","26","214","1"
"1351600","7070","832","789","1470"
"1583192","77","8","50","0"
"646198","2692","402","597","1"
"701745","1233","38","13","0"
"635998","560","135","748","3"
"3405219","139","54","18","1"
"1284631","1851","113","1395","2"
"464709","130657","10750","9120","7450"
"11927","2127","122","364","1"
"744015","2762","210","1132","0"
