Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount
"38918761","14109036","2","","2013-01-01 00:00:00",""
"39281333","14125030","2","","2013-01-08 00:00:00",""
"39281666","14115902","2","","2013-01-08 00:00:00",""
"39281807","14115902","2","","2013-01-08 00:00:00",""
"40358822","14185426","2","","2013-01-26 00:00:00",""
"44757100","14114741","2","","2013-04-09 00:00:00",""
"46617779","16377459","2","","2013-05-09 00:00:00",""
"50067305","14110890","5","930748","2013-07-08 00:00:00",""
"50067308","14110890","2","","2013-07-08 00:00:00",""
"50072443","14116420","5","1208658","2013-07-08 00:00:00",""
"50079000","14110890","5","282128","2013-07-08 00:00:00",""
"50079004","14110890","2","","2013-07-08 00:00:00",""
"50198895","14110890","5","1833612","2013-07-10 00:00:00",""
"50199529","14110890","2","","2013-07-10 00:00:00",""
"50202078","14110890","2","","2013-07-10 00:00:00",""
"50202086","14110890","5","208696","2013-07-10 00:00:00",""
"51258993","14111651","2","","2013-07-29 00:00:00",""
"51916219","14185426","2","","2013-08-09 00:00:00",""
"52919490","14114741","2","","2013-08-27 00:00:00",""
"53712081","14114741","2","","2013-09-11 00:00:00",""
"54730744","14185426","2","","2013-09-30 00:00:00",""
"54871232","19137473","11","","2013-10-02 00:00:00",""
"54998581","14114741","2","","2013-10-04 00:00:00",""
"56290694","14238131","2","","2013-10-28 00:00:00",""
"56936443","19832359","2","","2013-11-07 00:00:00",""
"57082457","14109036","2","","2013-11-11 00:00:00",""
"59448467","14116420","5","930037","2013-12-21 00:00:00",""
"60318629","14114741","2","","2014-01-08 00:00:00",""
"61770959","14114741","2","","2014-01-31 00:00:00",""
"62690884","19137473","2","","2014-02-15 00:00:00",""
"63721701","14114741","2","","2014-03-03 00:00:00",""
"64258430","21105833","2","","2014-03-11 00:00:00",""
"65680052","19137473","2","","2014-04-02 00:00:00",""
"66473081","14114741","2","","2014-04-15 00:00:00",""
"70400671","14116513","2","","2014-06-23 00:00:00",""
"72228294","14114741","2","","2014-07-25 00:00:00",""
"72605344","14110890","2","","2014-08-01 00:00:00",""
"73120961","14114741","2","","2014-08-11 00:00:00",""
"73497370","14110890","5","2334624","2014-08-18 00:00:00",""
"73627247","14110890","5","89161","2014-08-20 00:00:00",""
"73627250","14110890","2","","2014-08-20 00:00:00",""
"74280047","14114741","2","","2014-09-01 00:00:00",""
"74531854","14185426","2","","2014-09-05 00:00:00",""
"75682841","14114741","2","","2014-09-25 00:00:00",""
"77601218","14116420","2","","2014-10-30 00:00:00",""
"77601244","14116513","2","","2014-10-30 00:00:00",""
"78382151","21105833","2","","2014-11-13 00:00:00",""
"78496010","23713981","2","","2014-11-15 00:00:00",""
"78496012","21105833","2","","2014-11-15 00:00:00",""
"80131899","14115620","5","3177763","2014-12-15 00:00:00",""
"80131903","14115620","2","","2014-12-15 00:00:00",""
"81560125","21105833","2","","2015-01-12 00:00:00",""
"38925067","14110890","2","","2013-01-01 00:00:00",""
"38927397","14111651","2","","2013-01-01 00:00:00",""
"38927400","14111651","2","","2013-01-01 00:00:00",""
"38927782","14111651","2","","2013-01-01 00:00:00",""
"38928059","14111651","1","","2013-01-01 00:00:00",""
"38928060","14111651","2","","2013-01-01 00:00:00",""
"38935175","14111651","2","","2013-01-01 00:00:00",""
"39204687","14115902","2","","2013-01-07 00:00:00",""
"39204689","14115913","2","","2013-01-07 00:00:00",""
"43480409","14185426","2","","2013-03-19 00:00:00",""
"44422346","14185426","2","","2013-04-03 00:00:00",""
"46841639","14114741","2","","2013-05-13 00:00:00",""
"47653668","14109036","2","","2013-05-27 00:00:00",""
"50655883","14110890","5","71059","2013-07-18 00:00:00",""
"50655885","14110890","2","","2013-07-18 00:00:00",""
"54161458","14114741","2","","2013-09-19 00:00:00",""
"54295375","14114741","2","","2013-09-22 00:00:00",""
"54545958","14118242","1","","2013-09-26 00:00:00",""
"59412316","14110890","5","1131855","2013-12-20 00:00:00",""
"59412332","14110890","2","","2013-12-20 00:00:00",""
"60600425","14115620","2","","2014-01-13 00:00:00",""
"61116971","21105833","2","","2014-01-21 00:00:00",""
"61118785","21105833","2","","2014-01-21 00:00:00",""
"61124997","14114741","2","","2014-01-21 00:00:00",""
"64013474","14114741","2","","2014-03-07 00:00:00",""
"65449879","19137473","2","","2014-03-30 00:00:00",""
"66213330","21105833","2","","2014-04-11 00:00:00",""
"67410054","21105833","2","","2014-05-01 00:00:00",""
"68201148","14116420","2","","2014-05-15 00:00:00",""
"69345066","14185426","2","","2014-06-04 00:00:00",""
"70119407","14110890","2","","2014-06-18 00:00:00",""
"71672877","21105833","2","","2014-07-16 00:00:00",""
"73227924","14114741","2","","2014-08-12 00:00:00",""
"73863376","14485464","2","","2014-08-24 00:00:00",""
"74916402","14114741","2","","2014-09-12 00:00:00",""
"75177391","14110890","2","","2014-09-17 00:00:00",""
"75449229","14114741","2","","2014-09-22 00:00:00",""
"75832383","14116420","2","","2014-09-29 00:00:00",""
"75974175","14114741","2","","2014-10-01 00:00:00",""
"76323496","14111651","2","","2014-10-08 00:00:00",""
"79299340","21105833","2","","2014-11-30 00:00:00",""
"79676787","14485464","2","","2014-12-07 00:00:00",""
"79808918","14114741","2","","2014-12-09 00:00:00",""
"82130600","14116513","2","","2015-01-21 00:00:00",""
"38970889","14115913","1","","2013-01-02 00:00:00",""
"38976035","14125030","2","","2013-01-02 00:00:00",""
"38976124","14125030","2","","2013-01-02 00:00:00",""
"38976766","14125030","2","","2013-01-02 00:00:00",""
"38978087","14115902","2","","2013-01-02 00:00:00",""
"38978934","14125030","2","","2013-01-02 00:00:00",""
"38984557","14125030","2","","2013-01-02 00:00:00",""
"38984789","14125030","2","","2013-01-02 00:00:00",""
"38986814","14125030","2","","2013-01-02 00:00:00",""
"39123464","14125030","1","","2013-01-05 00:00:00",""
"43506873","14110890","2","","2013-03-19 00:00:00",""
"43506874","14110890","5","605129","2013-03-19 00:00:00",""
"44058630","14185426","2","","2013-03-28 00:00:00",""
"44463754","14125030","2","","2013-04-04 00:00:00",""
"46611285","16377459","2","","2013-05-09 00:00:00",""
"47010165","14111651","2","","2013-05-16 00:00:00",""
"50179046","17449231","2","","2013-07-09 00:00:00",""
"50179193","14110890","2","","2013-07-09 00:00:00",""
"50297910","14110890","9","","2013-07-11 00:00:00",""
"50433131","14114741","2","","2013-07-14 00:00:00",""
"53207779","14115620","2","","2013-09-02 00:00:00",""
"53338878","14125030","2","","2013-09-04 00:00:00",""
"54792009","14114741","2","","2013-10-01 00:00:00",""
"57858199","17449231","2","","2013-11-24 00:00:00",""
"60242145","14110890","2","","2014-01-07 00:00:00",""
"62349341","21105833","2","","2014-02-10 00:00:00",""
"63557621","14116420","2","","2014-02-28 00:00:00",""
"65172789","14115620","2","","2014-03-25 00:00:00",""
"65452773","19137473","2","","2014-03-30 00:00:00",""
"65871262","21105833","2","","2014-04-05 00:00:00",""
"66642008","14185426","2","","2014-04-18 00:00:00",""
"68743990","14185426","2","","2014-05-24 00:00:00",""
"71554075","17449231","2","","2014-07-14 00:00:00",""
"75483512","14110890","2","","2014-09-23 00:00:00",""
"75608073","14111651","2","","2014-09-24 00:00:00",""
"77436117","17449231","2","","2014-10-28 00:00:00",""
"78480649","14485464","2","","2014-11-15 00:00:00",""
"78879911","14185426","2","","2014-11-22 00:00:00",""
"80182781","14485464","2","","2014-12-16 00:00:00",""
"39035305","14116513","2","","2013-01-03 00:00:00",""
"39302031","14125030","2","","2013-01-08 00:00:00",""
"41385793","14116420","2","","2013-02-13 00:00:00",""
"41385796","14116420","5","196561","2013-02-13 00:00:00",""
"41386077","14116513","2","","2013-02-13 00:00:00",""
"41661092","14487079","2","","2013-02-18 00:00:00",""
"42603581","14114741","2","","2013-03-05 00:00:00",""
"44748705","14115913","2","","2013-04-09 00:00:00",""
"46381815","14238131","2","","2013-05-06 00:00:00",""
"46515459","16377459","2","","2013-05-08 00:00:00",""
"46521272","16377459","1","","2013-05-08 00:00:00",""
"46651525","16377459","9","","2013-05-10 00:00:00","500"
"48116480","14116420","2","","2013-06-04 00:00:00",""
"49047636","14185426","2","","2013-06-19 00:00:00",""
"49850010","17449231","2","","2013-07-03 00:00:00",""
"49850371","17449231","2","","2013-07-03 00:00:00",""
"50370611","14114741","2","","2013-07-12 00:00:00",""
"51270412","14114741","2","","2013-07-29 00:00:00",""
"54167790","14114741","2","","2013-09-19 00:00:00",""
"54450627","14115620","2","","2013-09-24 00:00:00",""
"39040342","14116215","2","","2013-01-03 00:00:00",""
"39054386","14114528","2","","2013-01-03 00:00:00",""
"39144064","14111052","8","1301750","2013-01-05 00:00:00","50"
"39279521","14115349","2","","2013-01-08 00:00:00",""
"40358829","14111052","2","","2013-01-26 00:00:00",""
"43175892","14116215","2","","2013-03-14 00:00:00",""
"44258834","14115349","2","","2013-04-01 00:00:00",""
"46097056","14107208","2","","2013-04-30 00:00:00",""
"46884921","14107208","2","","2013-05-14 00:00:00",""
"47827985","14107208","2","","2013-05-29 00:00:00",""
"48772949","14114411","5","1852470","2013-06-14 00:00:00",""
"49829514","14107208","2","","2013-07-03 00:00:00",""
"49830080","14107208","5","895174","2013-07-03 00:00:00",""
"49943757","14117121","2","","2013-07-05 00:00:00",""
"50078996","17473500","2","","2013-07-08 00:00:00",""
"50476703","14117121","2","","2013-07-15 00:00:00",""
"50992340","14114411","5","344774","2013-07-24 00:00:00",""
"52150242","14120661","2","","2013-08-13 00:00:00",""
"52539585","14117121","2","","2013-08-21 00:00:00",""
"53042304","14114411","2","","2013-08-29 00:00:00",""
"54730752","14111052","5","1978061","2013-09-30 00:00:00",""
"55894784","18806269","2","","2013-10-21 00:00:00",""
"58383360","14115349","2","","2013-12-03 00:00:00",""
"58906651","14114411","2","","2013-12-12 00:00:00",""
"62034759","18806269","2","","2014-02-05 00:00:00",""
"62164520","14115349","2","","2014-02-07 00:00:00",""
"62427636","14117121","2","","2014-02-11 00:00:00",""
"62690753","14117121","2","","2014-02-15 00:00:00",""
"64525026","14107208","2","","2014-03-15 00:00:00",""
"64525027","14107208","5","742560","2014-03-15 00:00:00",""
"65168202","22626273","2","","2014-03-25 00:00:00",""
"65168884","14114411","2","","2014-03-25 00:00:00",""
"66196194","14114411","2","","2014-04-10 00:00:00",""
"66857878","14107208","2","","2014-04-22 00:00:00",""
"66857879","14107208","5","637283","2014-04-22 00:00:00",""
"66989396","14114411","2","","2014-04-24 00:00:00",""
"70150456","14114443","2","","2014-06-18 00:00:00",""
"70150469","14114411","2","","2014-06-18 00:00:00",""
"70522070","14114411","2","","2014-06-25 00:00:00",""
"71180288","14114528","2","","2014-07-07 00:00:00",""
"71960976","14107208","2","","2014-07-21 00:00:00",""
"71960978","14107208","5","3076333","2014-07-21 00:00:00",""
"72474325","14112839","5","1132615","2014-07-30 00:00:00",""
"73002084","25197868","11","","2014-08-08 00:00:00",""
"73771853","14117121","2","","2014-08-22 00:00:00",""
"74035716","22626273","2","","2014-08-27 00:00:00",""
"74641647","14114411","2","","2014-09-07 00:00:00",""
"75429193","14111052","5","1814189","2014-09-22 00:00:00",""
"76824570","14120661","2","","2014-10-16 00:00:00",""
"76837307","14117121","2","","2014-10-17 00:00:00",""
"77891451","14120661","2","","2014-11-05 00:00:00",""
"78001254","14107208","5","1649982","2014-11-06 00:00:00",""
"79023639","14112839","2","","2014-11-25 00:00:00",""
"79023644","14112839","5","1291150","2014-11-25 00:00:00",""
"79879491","14120661","2","","2014-12-10 00:00:00",""
"80666894","14120661","5","1338339","2014-12-24 00:00:00",""
"80666897","14120661","2","","2014-12-24 00:00:00",""
"81698223","14107208","5","1700479","2015-01-14 00:00:00",""
"81952205","25197868","2","","2015-01-19 00:00:00",""
"82621232","14117121","2","","2015-01-29 00:00:00",""
"38919910","14107208","3","","2013-01-01 00:00:00",""
"38920061","14109099","2","","2013-01-01 00:00:00",""
"38925415","14111052","5","1292203","2013-01-01 00:00:00",""
"38927499","14111686","2","","2013-01-01 00:00:00",""
"38927501","14111686","2","","2013-01-01 00:00:00",""
"38927505","14111686","2","","2013-01-01 00:00:00",""
"38927506","14111686","2","","2013-01-01 00:00:00",""
"38927507","14111686","2","","2013-01-01 00:00:00",""
"38927508","14111686","2","","2013-01-01 00:00:00",""
"38927548","14111686","2","","2013-01-01 00:00:00",""
"38927579","14111686","2","","2013-01-01 00:00:00",""
"38927729","14111686","2","","2013-01-01 00:00:00",""
"38927755","14111686","2","","2013-01-01 00:00:00",""
"38927760","14111686","2","","2013-01-01 00:00:00",""
"38927763","14111686","2","","2013-01-01 00:00:00",""
"38927792","14111686","2","","2013-01-01 00:00:00",""
"38927898","14111686","2","","2013-01-01 00:00:00",""
"38928020","14111686","2","","2013-01-01 00:00:00",""
"38928104","14111686","2","","2013-01-01 00:00:00",""
"38928195","14111686","2","","2013-01-01 00:00:00",""
"38928554","14111686","1","","2013-01-01 00:00:00",""
"38929456","14111686","2","","2013-01-01 00:00:00",""
"38929801","14111686","2","","2013-01-01 00:00:00",""
"38930134","14111686","2","","2013-01-01 00:00:00",""
"38931497","14112839","2","","2013-01-01 00:00:00",""
"38931508","14112839","2","","2013-01-01 00:00:00",""
"38931518","14112839","2","","2013-01-01 00:00:00",""
"38931519","14112839","5","776084","2013-01-01 00:00:00",""
"38931544","14112839","2","","2013-01-01 00:00:00",""
"38931615","14112839","2","","2013-01-01 00:00:00",""
"38931695","14112003","2","","2013-01-01 00:00:00",""
"38931763","14112839","2","","2013-01-01 00:00:00",""
"38931906","14112003","2","","2013-01-01 00:00:00",""
"38933053","14112839","2","","2013-01-01 00:00:00",""
"38933205","14112839","5","258289","2013-01-01 00:00:00",""
"38934481","14111686","2","","2013-01-01 00:00:00",""
"38934490","14112839","2","","2013-01-01 00:00:00",""
"38935455","14111686","2","","2013-01-01 00:00:00",""
"38936128","14112839","2","","2013-01-01 00:00:00",""
"39061675","14116215","2","","2013-01-04 00:00:00",""
"42271091","14111052","2","","2013-02-28 00:00:00",""
"46971388","14107208","2","","2013-05-15 00:00:00",""
"46980998","14116215","2","","2013-05-15 00:00:00",""
"47649033","14117121","2","","2013-05-27 00:00:00",""
"52743580","14115349","2","","2013-08-24 00:00:00",""
"52885389","17473500","2","","2013-08-27 00:00:00",""
"53902504","18806269","1","","2013-09-14 00:00:00",""
"54292756","14116215","2","","2013-09-22 00:00:00",""
"55873834","17473500","2","","2013-10-20 00:00:00",""
"58339743","14115349","2","","2013-12-03 00:00:00",""
"60353913","14120661","2","","2014-01-09 00:00:00",""
"60357061","17584989","2","","2014-01-09 00:00:00",""
"60478936","14115349","2","","2014-01-10 00:00:00",""
"61379476","14107208","2","","2014-01-25 00:00:00",""
"62170770","14112839","2","","2014-02-07 00:00:00",""
"62446403","14107208","5","195751","2014-02-12 00:00:00",""
"62446404","14107208","2","","2014-02-12 00:00:00",""
"62837405","14117121","2","","2014-02-18 00:00:00",""
"64794632","14107208","2","","2014-03-19 00:00:00",""
"65059177","14117121","2","","2014-03-24 00:00:00",""
"65190147","17473500","2","","2014-03-26 00:00:00",""
"65449748","14117121","2","","2014-03-30 00:00:00",""
"65569126","14114411","2","","2014-04-01 00:00:00",""
"66618558","14107208","2","","2014-04-17 00:00:00",""
"68726699","14117121","2","","2014-05-23 00:00:00",""
"68863458","14111052","5","1884546","2014-05-27 00:00:00",""
"70121881","14115349","2","","2014-06-18 00:00:00",""
"74242398","22626273","2","","2014-08-31 00:00:00",""
"76979902","14114430","2","","2014-10-20 00:00:00",""
"77761866","14114411","2","","2014-11-03 00:00:00",""
"77761867","14114411","5","1997092","2014-11-03 00:00:00",""
"78649662","14111052","5","4253657","2014-11-18 00:00:00",""
"81763181","14114411","2","","2015-01-15 00:00:00",""
"82626367","17473500","3","","2015-01-30 00:00:00",""
"38972302","14116215","2","","2013-01-02 00:00:00",""
"38978160","14116215","2","","2013-01-02 00:00:00",""
"38979078","14116215","2","","2013-01-02 00:00:00",""
"38979897","14116215","2","","2013-01-02 00:00:00",""
"39253267","14114528","2","","2013-01-07 00:00:00",""
"43093525","14116215","2","","2013-03-13 00:00:00",""
"44058515","14111052","2","","2013-03-28 00:00:00",""
"44058516","14111052","5","476747","2013-03-28 00:00:00",""
"44453527","14116215","2","","2013-04-04 00:00:00",""
"50179140","14107208","2","","2013-07-09 00:00:00",""
"50306697","14107208","2","","2013-07-11 00:00:00",""
"50822249","14107208","2","","2013-07-21 00:00:00",""
"50958606","14107208","2","","2013-07-23 00:00:00",""
"51104150","14114411","2","","2013-07-25 00:00:00",""
"51621447","14107208","2","","2013-08-04 00:00:00",""
"51621773","14107208","5","1511504","2013-08-04 00:00:00",""
"51765927","14107208","2","","2013-08-06 00:00:00",""
"52179754","14107208","5","86328","2013-08-14 00:00:00",""
"52179757","14107208","2","","2013-08-14 00:00:00",""
"54661423","14114411","5","1429811","2013-09-28 00:00:00",""
"38914759","14107804","2","","2013-01-01 00:00:00",""
"38914774","14107804","2","","2013-01-01 00:00:00",""
"38914820","14107804","2","","2013-01-01 00:00:00",""
"38914822","14107804","5","818326","2013-01-01 00:00:00",""
"38914933","14107804","5","23589","2013-01-01 00:00:00",""
"38915099","14107804","10","","2013-01-01 00:00:00",""
"38915248","14107804","5","1840231","2013-01-01 00:00:00",""
"38918292","14108774","2","","2013-01-01 00:00:00",""
"44249723","14116194","2","","2013-04-01 00:00:00",""
"46097053","14108774","2","","2013-04-30 00:00:00",""
"46231930","16344827","2","","2013-05-02 00:00:00",""
"46376093","14108774","2","","2013-05-05 00:00:00",""
"46884893","14108774","2","","2013-05-14 00:00:00",""
"47827990","14108774","2","","2013-05-29 00:00:00",""
"48359816","14121669","2","","2013-06-07 00:00:00",""
"49560838","14108774","2","","2013-06-27 00:00:00",""
"49829510","14108774","2","","2013-07-03 00:00:00",""
"50206666","14108774","2","","2013-07-10 00:00:00",""
"50603171","14108774","2","","2013-07-17 00:00:00",""
"51258990","14111607","2","","2013-07-29 00:00:00",""
"51637035","14107531","2","","2013-08-04 00:00:00",""
"52405574","14116498","2","","2013-08-18 00:00:00",""
"52536764","14116498","2","","2013-08-20 00:00:00",""
"52908330","14116498","2","","2013-08-27 00:00:00",""
"53309188","14108774","2","","2013-09-04 00:00:00",""
"53316043","16503127","2","","2013-09-04 00:00:00",""
"54856198","14108774","2","","2013-10-02 00:00:00",""
